*****Rover GA expirement*****
Date:2017-06-19 22:07:24.955781
Population size:40
Generation Count:30
Mutation Probability:0.2
Cross Over Probability:0.35
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Fitness
4, 171, 169, 52, 37, 4.21088278246, 3.2334902918, 91.36
4, 172, 157, 52, 37, 4.21088278246, 3.2334902918, 93.8675
4, 173, 304, 52, 37, 1.93698938354, 3.2334902918, 97.48
4, 174, 179, 37, 91, 4.07261575665, 1.83343826993, 96.5425
4, 175, 157, 29, 19, 0.104286100839, 0.411426067434, 96.355
4, 176, 342, 37, 91, 0.104286100839, 0.411426067434, 93.87
4, 177, 157, 86, 35, 4.21088278246, 3.2334902918, 89.7525
4, 178, 304, 52, 37, 4.21088278246, 3.2334902918, inf
4, 179, 169, 86, 35, 0.104286100839, 0.411426067434, 91.39
4, 180, 169, 86, 35, 0.104286100839, 0.411426067434, 91.11
4, 181, 169, 52, 35, 0.104286100839, 0.411426067434, 92.19
4, 182, 157, 41, 61, 4.07261575665, 1.83343826993, 96.15
4, 183, 206, 86, 35, 4.60638341756, 2.30758029814, 92.675
4, 184, 169, 86, 35, 0.104286100839, 0.411426067434, 91.1875
4, 185, 169, 69, 61, 0.104286100839, 0.411426067434, 90.4775
4, 186, 150, 86, 35, 4.07261575665, 1.83343826993, 91.73
4, 187, 157, 29, 19, 4.60638341756, 2.0019961254, 93.5775
4, 188, 169, 86, 35, 0.104286100839, 0.411426067434, inf
4, 189, 150, 29, 19, 4.60638341756, 2.0019961254, 96.57
4, 190, 169, 86, 35, 4.90023127199, 0.411426067434, 89.9675
4, 191, 179, 37, 91, 4.83041559229, 0.919647179713, 97.71
4, 192, 150, 86, 35, 4.07261575665, 1.83343826993, inf
4, 193, 222, 17, 87, 4.32415913655, 1.59607479264, 104.77
4, 194, 304, 52, 43, 4.21088278246, 1.83343826993, 96.47
4, 195, 169, 86, 35, 0.104286100839, 0.411426067434, 91.3675
5, 177, 157, 86, 35, 4.21088278246, 0.411426067434, 95.2275
5, 196, 342, 37, 41, 0.104286100839, 0.411426067434, 94.17
5, 197, 157, 29, 19, 4.60638341756, 2.0019961254, 95.97
5, 198, 150, 29, 19, 1.89897051878, 0.541287299842, 100.9675
5, 199, 157, 52, 35, 0.104286100839, 0.411426067434, 93.8025
5, 200, 157, 86, 35, 4.21088278246, 3.2334902918, 91.485
5, 201, 169, 86, 35, 3.94825015794, 1.19429850248, 91.4675
5, 202, 157, 39, 61, 4.07261575665, 1.83343826993, inf
5, 203, 150, 86, 35, 4.21088278246, 3.2334902918, 93.055
5, 204, 157, 52, 37, 3.2903629526, 3.2334902918, inf
5, 205, 206, 86, 35, 4.60638341756, 2.30758029814, 92.785
5, 206, 169, 86, 35, 4.90023127199, 0.411426067434, 94.2275
5, 207, 169, 86, 35, 0.104286100839, 0.411426067434, 90.83
5, 208, 304, 52, 37, 4.21088278246, 3.2334902918, 96.865
5, 209, 157, 86, 35, 4.21088278246, 3.2334902918, 91.435
5, 210, 304, 52, 43, 4.21088278246, 1.83343826993, 96.775
5, 211, 206, 86, 35, 0.104286100839, 0.411426067434, 95.76
5, 212, 179, 81, 23, 0.104286100839, 0.411426067434, 91.3825
5, 213, 169, 41, 61, 4.07261575665, 4.85172367345, inf
5, 214, 169, 86, 35, 4.60638341756, 2.0019961254, 91.7125
5, 215, 150, 86, 35, 0.104286100839, 0.411426067434, 93.365
5, 216, 55, 86, 35, 0.104286100839, 0.411426067434, inf
5, 217, 179, 81, 23, 1.89897051878, 0.541287299842, 91.575
5, 218, 157, 52, 37, 4.21088278246, 3.2334902918, 94.265
5, 219, 367, 29, 19, 0.104286100839, 0.411426067434, inf
5, 220, 150, 86, 91, 0.104286100839, 3.59587644518, 97.29
5, 221, 206, 86, 35, 4.07261575665, 1.83343826993, 92.17
5, 222, 150, 86, 35, 2.08225728846, 1.83343826993, 93.375
5, 223, 169, 86, 35, 4.21088278246, 3.2334902918, 93.7925
5, 224, 206, 86, 35, 4.60638341756, 4.85172367345, 92.375
5, 225, 150, 86, 37, 4.21088278246, 3.2334902918, 92.16
5, 226, 150, 86, 35, 4.07261575665, 1.83343826993, 92.4625
5, 227, 206, 86, 35, 0.104286100839, 0.411426067434, inf
5, 228, 157, 29, 19, 4.60638341756, 2.0019961254, 97.17
5, 229, 169, 86, 35, 0.104286100839, 0.411426067434, 91.4625
5, 230, 169, 86, 35, 4.83041559229, 1.19429850248, 91.205
5, 231, 169, 52, 35, 0.104286100839, 0.411426067434, 93.9625
5, 232, 169, 86, 35, 4.90023127199, 3.2334902918, 91.4475
5, 233, 169, 86, 35, 4.90023127199, 0.411426067434, 92.2525
5, 234, 169, 52, 35, 0.104286100839, 0.411426067434, 93.375
6, 207, 157, 29, 35, 4.60638341756, 2.0019961254, 95.6825
6, 235, 150, 86, 37, 4.21088278246, 3.2334902918, 92.8625
6, 236, 179, 81, 23, 0.104286100839, 3.2334902918, 91.225
6, 237, 206, 86, 35, 4.60638341756, 2.30758029814, 92.175
6, 238, 169, 86, 35, 4.90023127199, 0.411426067434, 91.9725
6, 239, 206, 86, 35, 0.104286100839, 0.411426067434, 91.31
6, 240, 157, 86, 37, 0.104286100839, 0.411426067434, inf
6, 241, 150, 86, 35, 2.08225728846, 1.83343826993, 92.71
6, 242, 169, 86, 35, 4.60638341756, 2.0019961254, 91.1775
6, 243, 169, 86, 35, 0.104286100839, 0.411426067434, 91.1825
6, 244, 157, 86, 35, 4.21088278246, 3.2334902918, 97.1725
6, 245, 169, 78, 19, 4.60638341756, 2.0019961254, 91.035
6, 246, 169, 86, 35, 0.104286100839, 0.411426067434, 91.06
6, 247, 157, 86, 35, 4.21088278246, 3.2334902918, 91.265
6, 248, 150, 86, 35, 4.21088278246, 3.2334902918, inf
6, 249, 169, 86, 35, 4.21088278246, 3.87075146827, 91.9975
6, 250, 169, 86, 35, 4.90796440093, 0.411426067434, 91.535
6, 251, 165, 81, 23, 0.104286100839, 0.411426067434, 92.0775
6, 252, 150, 86, 37, 4.21088278246, 0.411426067434, 92.985
6, 253, 55, 86, 35, 0.104286100839, 0.411426067434, inf
6, 254, 169, 86, 35, 4.90023127199, 3.2334902918, 91.98
6, 255, 150, 86, 35, 4.60638341756, 1.83343826993, 95.08
6, 256, 169, 86, 35, 4.21088278246, 3.2334902918, inf
